Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,EP,05543,JUMALNIEMENTIE 8,48600,KOTKA,TAVARATALO,K-CITYMARKET KOTKA,LIIKETILAN AUKIOLO,,60.506490,26.913580
,,O+,40225,KARHULANTIE 30,48600,KOTKA,KAUPPA,S-MARKET KARHULA,24 H AUKIOLO,,60.513720,26.933160
,,O+,40327,KARHULANTIE 35,48600,KOTKA,KAUPPA,K-MARKET KARHULA,24 H AUKIOLO,,60.515240,26.931410
,,O,05224,KARHULANTIE 36,48600,KOTKA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.514690,26.931620
,,O,04392,KARJALANTIE 10,48600,KOTKA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.516400,26.933120
,,O,04507,HAMINANTIE 1,48810,KOTKA,LIIKENNEPAIKKA,ABC AMIRAALI KOTKA,LIIKETILAN AUKIOLO,,60.542060,26.974740
,,O,03758,MALMINSUONTIE 2,49220,SILTAKYLÄ,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.496340,26.738300
,,O,05082,KAIVOKATU 10,49400,HAMINA,PANKIN KONTTORI,NORDEA HAMINA,24 H AUKIOLO,,60.568323,27.190600
,,O+,40190,PUISTOKATU 6,49400,HAMINA,PANKIN KONTTORI,OP HAMINA,24 H AUKIOLO,,60.568360,27.191190
,,P,05783,SIBELIUSKATU 27,49400,HAMINA,KAUPPA,K-SUPERMARKET KANUUNA,24 H AUKIOLO,,60.568070,27.188680
,,T,40063,SIBELIUSKATU 27,49400,HAMINA,KAUPPA,K-SUPERMARKET KANUUNA,LIIKETILAN AUKIOLO,,60.568310,27.189240
,,P,05871,HELSINGINTIE 1,49410,POITSILA,KAUPPA,K-MARKET HAMINA,24 H AUKIOLO,,60.563640,27.162520
,,O,04082,KESKUSTIE 1,49700,MIEHIKKÄLÄ,LIIKEKIINTEISTÖ,MIEHIKKÄLÄN LIIKETALO,24 H AUKIOLO,,60.671220,27.700199
,,O+,40228,OPINTIE 1,49900,VIROLAHTI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,60.583570,27.708030
,,O+,40342,ROUVANMÄENTIE 3,49930,VIROLAHTI,KAUPPAKESKUS,ZSAR OUTLET VILLAGE,LIIKETILAN AUKIOLO,,60.604500,27.835670
,,EP,05590,HALLITUSKATU 6,50100,MIKKELI,TAVARATALO,CARLSON MIKKELI,LIIKETILAN AUKIOLO,,61.688830,27.269390
,,EP,05564,MAAHERRANKATU 13,50100,MIKKELI,TAVARATALO,STELLA MIKKELI,LIIKETILAN AUKIOLO,,61.688837,27.272633
,,T,40080,PORRASSALMENKATU 19,50100,MIKKELI,PANKIN KONTTORI,OP MIKKELI,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 6-22,61.687520,27.274750
,,P,06021,PORRASSALMENKATU 23,50100,MIKKELI,PANKIN KONTTORI,NORDEA MIKKELI,24 H AUKIOLO,,61.688390,27.275160
,,P,05787,PORRASSALMENKATU 33,50100,MIKKELI,KAUPPA,LIIKETILA,24 H AUKIOLO,,61.690440,27.276510
,,EP,05689,PORRASSALMENKATU 67,50100,MIKKELI,KAUPPA,K-SUPERMARKET ROKKALA,,,61.700580,27.282780
,,T,40078,SETRIKATU 2,50100,MIKKELI,KAUPPAKESKUS,SETRI,LIIKETILAN AUKIOLO,,61.680120,27.269730
,,EP,05657,HIETAKATU 7,50130,MIKKELI,LIIKENNEPAIKKA,ABC PITKÄJÄRVI,LIIKETILAN AUKIOLO,,61.676047,27.245685
,,O,04695,SUNTIONKUJA 1,50170,MIKKELI,KAUPPA,S-MARKET PEITSARI,24 H AUKIOLO,,61.701430,27.305086
,,EP,05591,GRAANINTIE 1,50190,MIKKELI,KAUPPAKESKUS,GRAANI,LIIKETILAN AUKIOLO,,61.686240,27.297880
,,EP,05592,GRAANINTIE 1,50190,MIKKELI,KAUPPAKESKUS,GRAANI / PRISMA,LIIKETILAN AUKIOLO,,61.686530,27.298110
,,P,05999,KARIKONTIE 1,50600,MIKKELI,KAUPPA,K-SUPERMARKET KARIKKO,24 H AUKIOLO,,61.679160,27.221280
,,O,03989,VANHAMÄENTIE 1,50600,MIKKELI,KAUPPA,S-MARKET RANTAKYLÄ,24 H AUKIOLO,,61.678135,27.202317
,,O+,40236,OTTO MANNISENTIE 1,51200,KANGASNIEMI,PANKIN KONTTORI,OP KANGASNIEMI,24 H AUKIOLO,,61.989740,26.642980
,,O,05058,KESKUSTIE 76,51600,HAUKIVUORI,PANKIN KONTTORI,OP HAUKIVUORI,24 H AUKIOLO,,62.024250,27.206390
,,O+,40185,PIIKKILÄNTIE 3,51900,JUVA,PANKIN KONTTORI,OP JUVA,24 H AUKIOLO,,61.896986,27.855947
,,EP,05542,TULOSTIE 1,51900,JUVA,LIIKENNEPAIKKA,ABC JUVA,LIIKETILAN AUKIOLO,,61.897680,27.805090
,,EP,05551,TULOSTIE 2,51900,JUVA,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,61.898040,27.808600
,,O,04976,MIKKELINTIE 45,52100,ANTTOLA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,61.583050,27.649690
,,O,04970,KESKUSTIE 4,52200,PUUMALA,KAUPPA,SALE PUUMALA,24 H AUKIOLO,,61.520650,28.177940
,,O,04348,BRAHENTIE 16,52300,RISTIINA,PANKIN KONTTORI,OP RISTIINA,24 H AUKIOLO,konttori avoinna ti,ke ja pe klo 9 - 12:30,61.510430,27.248480
,,O,04040,HIRVENSALMENTIE 21,52550,HIRVENSALMI,PANKIN KONTTORI,OP HIRVENSALMI,24 H AUKIOLO,,61.640900,26.775269
,,O+,40196,PENTINPOLKU 1,52700,MÄNTYHARJU,PANKIN KONTTORI,OP MÄNTYHARJU,24 H AUKIOLO,,61.416190,26.880830
,,O,05289,LAPPEENRANNANTIE 34 A,52830,SUOMENNIEMI,HUOLTOASEMA,SEO / KAHVILA SALMENRANTA,24 H AUKIOLO,,61.354390,27.399770
,,EP,05555,BRAHENKATU 1,53100,LAPPEENRANTA,HOTELLI,SOKOS HOTEL LAPPEE,LIIKETILAN AUKIOLO,,61.056500,28.191080
,,EP,05541,HIESSILLANKATU 5,53100,LAPPEENRANTA,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,61.039380,28.223220
,,T,40119,KAIVOKATU 5,53100,LAPPEENRANTA,KAUPPAKESKUS,ISO KRISTIINA,LIIKETILAN AUKIOLO,,61.056810,28.193320
,,P,05898,KAUPPAKATU 29,53100,LAPPEENRANTA,KAUPPAKESKUS,ARMADA,24 H AUKIOLO,,61.059480,28.185260
,,T,40054,KAUPPAKATU 40,53100,LAPPEENRANTA,PANKIN KONTTORI,KESKUSTAGALLERIA/NORDEA,LIIKETILAN AUKIOLO,,61.055551,28.188918
,,T,40030,KIRKKOKATU 9,53100,LAPPEENRANTA,PANKIN KONTTORI,OP LAPPEENRANTA,ITSEPALVELUALUEEN AUKIOLO,klo 6-22,61.059090,28.188470
,,O+,40320,RATAKATU 31,53100,LAPPEENRANTA,KAUPPA,K-MARKET RATAKATU,24 H AUKIOLO,,61.050080,28.198050
,,O,04749,VALTAKATU 32,53100,LAPPEENRANTA,PANKIN KONTTORI,OMA SP LAPPEENRANTA,24 H AUKIOLO,,61.058360,28.185720
,,P,05894,STANDERTSKJÖLDINKATU 6,53200,LAPPEENRANTA,KAUPPA,K-SUPERMARKET LEHMUS,24 H AUKIOLO,,61.061110,28.234330
,,O,04631,KARJALANTIE 25,53300,LAPPEENRANTA,LIIKEKIINTEISTÖ,VIOLET LOUNAS KAHVILA,24 H AUKIOLO,,61.070646,28.262599
,,O,03729,KAUPPAKÄYTÄVÄ 6,53300,LAPPEENRANTA,LIIKEKIINTEISTÖ,APTEEKKI,24 H AUKIOLO,,61.071586,28.261776
,,EP,05606,HIRSIMÄENKATU 1,53500,LAPPEENRANTA,LIIKENNEPAIKKA,ABC VIIPURINPORTTI,LIIKETILAN AUKIOLO,,61.052542,28.262427
,,EP,05450,KAAKKOISKAARI 22,53500,LAPPEENRANTA,KAUPPA,S-MARKET MYLLY,LIIKETILAN AUKIOLO,,61.047102,28.209507
,,EP,05484,TOIKANSUONTIE 4,53500,LAPPEENRANTA,TAVARATALO,K-CITYMARKET LAPPEENRANTA,LIIKETILAN AUKIOLO,,61.045290,28.200240
,,O,04383,PUHAKANKATU 1,53600,LAPPEENRANTA,KAUPPAKESKUS,TAPULIN LIIKEKESKUS,24 H AUKIOLO,,61.050147,28.174393
,,EP,05486,PUHAKANKATU 9,53600,LAPPEENRANTA,TAVARATALO,PRISMA LAPPEENRANTA,LIIKETILAN AUKIOLO,,61.050510,28.178830
,,EP,05487,PUHAKANKATU 9,53600,LAPPEENRANTA,TAVARATALO,PRISMA LAPPEENRANTA,LIIKETILAN AUKIOLO,,61.050500,28.178830
,,O+,40323,KATAJAKATU 10,53810,LAPPEENRANTA,KAUPPA,K-MARKET KOURULA,24 H AUKIOLO,,61.049020,28.134270
,,O,04138,ORIONINKATU 2,53850,LAPPEENRANTA,KAUPPA,S-MARKET SAMMONLAHTI,24 H AUKIOLO,,61.052226,28.105431
,,O,04514,SATAMATIE 30,53900,LAPPEENRANTA,KAUPPA,S-MARKET PALLO,24 H AUKIOLO,,61.064450,28.171750
,,O,05129,VOISALMENTIE 9,53920,LAPPEENRANTA,KAUPPA,K-MARKET VOISALMI,24 H AUKIOLO,,61.078400,28.150060
,,T,40130,KESKUSKATU 4,54100,JOUTSENO,KAUPPA,K-SUPERMARKET PIRANA,LIIKETILAN AUKIOLO,,61.117610,28.500780
,,O,04956,KESKUSKATU 5,54100,JOUTSENO,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,61.117890,28.500990
,,P,05838,LINNALANTIE 51,54500,TAAVETTI,PANKIN KONTTORI,OP TAAVETTI,24 H AUKIOLO,,60.922470,27.568160
,,O,04967,UIMINTIE 1,54710,LEMI,PANKIN KONTTORI,OP LEMI,24 H AUKIOLO,,61.061160,27.804120
,,P,05921,TORIKATU 6,54800,SAVITAIPALE,PANKIN KONTTORI,OP SAVITAIPALE,24 H AUKIOLO,,61.197600,27.681520
,,P,05980,KUHATIE 12-14,54915,SAIMAANHARJU,KAUPPA,K-MARKET NIIVA,24 H AUKIOLO,,61.135750,28.101250
,,T,40116,KOSKENPARRAS 3,55100,IMATRA,KAUPPA,K-SUPERMARKET IMATRANKOSKI,LIIKETILAN AUKIOLO,,61.171210,28.770210
,,O,05196,LAPPEENTIE 9,55100,IMATRA,PANKIN KONTTORI,NORDEA IMATRA,24 H AUKIOLO,,61.171370,28.768330
,,EP,05623,KARHUMÄENKATU 1,55120,IMATRA,TAVARATALO,PRISMA IMATRA,LIIKETILAN AUKIOLO,,61.188220,28.763680
,,P,05882,KOSKIKATU 1,55120,IMATRA,RAUTATIEASEMA,KESKUSASEMA,24 H AUKIOLO,,61.194960,28.777440
,,T,40167,TIETÄJÄNKATU 2,55120,IMATRA,TAVARATALO,K-CITYMARKET IMATRA,LIIKETILAN AUKIOLO,,61.187290,28.770950
,,EP,05622,TIETÄJÄNKATU 3,55120,IMATRA,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,61.185510,28.770860
,,O,04580,ENSONTIE 32,55610,IMATRA,LIIKEKIINTEISTÖ,RAJAPATSAS,24 H AUKIOLO,,61.163597,28.801723
,,O+,40340,TORIKATU 8,55800,IMATRA,TAVARATALO,K-SM VUOKSENNISKA,LIIKETILAN AUKIOLO,,61.224650,28.835520
,,O,05051,TORIKATU 9,55800,IMATRA,LIIKEKIINTEISTÖ,VUOKSENNISKAN APTEEKKI,24 H AUKIOLO,,61.225484,28.834729
,,O,03734,RASILANTIE 56,56100,RUOKOLAHTI,PANKIN KONTTORI,OP RUOKOLAHTI,24 H AUKIOLO,,61.292750,28.811980
,,O,04350,PANKKIKATU 1,56800,SIMPELE,PANKIN KONTTORI,OP SIMPELE,24 H AUKIOLO,,61.434921,29.355445
,,O,04085,OLAVINKATU 57,57100,SAVONLINNA,TAVARATALO,SOKOS SAVONLINNA,24 H AUKIOLO,,61.870688,28.875825
,,P,05789,TULLIPORTINKATU 10,57100,SAVONLINNA,TAVARATALO,K-CITYMARKET SAVONLINNA,24 H AUKIOLO,,61.867850,28.870350
,,T,40086,TULLIPORTINKATU 10,57100,SAVONLINNA,TAVARATALO,K-CITYMARKET SAVONLINNA,LIIKETILAN AUKIOLO,,61.868080,28.869910
,,P,05759,KAUPPATORI 6,57130,SAVONLINNA,PANKIN KONTTORI,DANSKE SAVONLINNA,24 H AUKIOLO,,61.867690,28.885540
,,O,05100,ILOKALLIONKATU 4,57200,SAVONLINNA,LIIKEKIINTEISTÖ,PÄÄSKYLAHDEN APTEEKKI,24 H AUKIOLO,,61.869724,28.922338
,,P,05945,KULLERVONKATU 1,57200,SAVONLINNA,KAUPPA,K-SUPERMARKET  MERTALA,24 H AUKIOLO,,61.864850,28.936620
,,O+,40262,KARTANONVÄYLÄ 3,57210,SAVONLINNA,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,61.873930,28.954900
,,O,04529,NOJANMAANTIE 15,57210,SAVONLINNA,TAVARATALO,PRISMA SAVONLINNA,24 H AUKIOLO,,61.875910,28.949950
,,P,05910,AHOLAHDENTIE 8,57710,SAVONLINNA,KAUPPA,K-SUPERMARKET EVÄSKELLARI,24 H AUKIOLO,,61.878750,28.816840
,,O+,40232,HÄLVÄNTIE 2,58200,KERIMÄKI,PANKIN KONTTORI,OP KERIMÄKI,24 H AUKIOLO,,61.912720,29.282760
,,O+,40233,KAUPPATIE 18,58500,PUNKAHARJU,PANKIN KONTTORI,OP PUNKAHARJU,24 H AUKIOLO,,61.757350,29.389140
,,O,04691,ALANTEENTIE 38,58700,SULKAVA,KAUPPA,K-MARKET WILJAMI,24 H AUKIOLO,,61.787550,28.370190
,,O,04037,KYLÄTIE 28,58900,RANTASALMI,PANKIN KONTTORI,OP RANTASALMI,ITSEPALVELUALUEEN AUKIOLO,24 H,62.064070,28.302330
,,O+,40231,PARIKKALANTIE 23,59100,PARIKKALA,PANKIN KONTTORI,OP PARIKKALA,24 H AUKIOLO,,61.555710,29.501040
,,O,04693,KESÄLAHDENTIE 30 A,59800,KESÄLAHTI,PANKIN KONTTORI,OP KESÄLAHTI,24 H AUKIOLO,,61.892959,29.824596
,,O,04284,KAUPPATORI 3,60100,SEINÄJOKI,HOTELLI,SOKOS HOTEL VAAKUNA,24 H AUKIOLO,,62.788261,22.839301
,,T,40081,KESKUSKATU 9,60100,SEINÄJOKI,PANKIN KONTTORI,OP SEINÄJOKI,ITSEPALVELUALUEEN AUKIOLO,sisäänpääsy kortilla ma-su klo 6 - 23, ilman korttia ma-pe klo 7:30 - 16:30,62.791110,22.839000
,,T,40069,KESKUSTORI 4,60100,SEINÄJOKI,PANKIN KONTTORI,NORDEA SEINÄJOKI,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 6-23,62.790560,22.840020
,,P,06023,PUSKANTIE 13,60100,SEINÄJOKI,KAUPPA,K-SUPERMARKET SEINÄJOKI,24 H AUKIOLO,,62.791750,22.834500
,,O+,40247,TEHTAANTIE 5,60100,SEINÄJOKI,TAVARATALO,MINIMANI,24 H AUKIOLO,,62.789420,22.880680
,,P,05824,PÄIVÖLÄNKATU 40,60120,SEINÄJOKI,TAVARATALO,K-CITYMARKET PÄIVÖLÄ,24 H AUKIOLO,,62.792890,22.872060
,,T,40065,PÄIVÖLÄNKATU 40,60120,SEINÄJOKI,TAVARATALO,K-CITYMARKET PÄIVÖLÄ,LIIKETILAN AUKIOLO,,62.792890,22.872050
,,O,04167,TAPIOLANTIE 18,60150,SEINÄJOKI,KAUPPA,K-MARKET KYMPPI,24 H AUKIOLO,,62.771010,22.876100
,,O,04762,TORITAIVAL 2,60200,SEINÄJOKI,KAUPPA,K-MARKET KÄRKI,24 H AUKIOLO,,62.746377,22.858083
,,O,03930,VUORITIE 6,60200,SEINÄJOKI,LIIKEKIINTEISTÖ,PIKKUKUPOLI / TÖRNÄVÄ,24 H AUKIOLO,,62.769203,22.844158
,,P,05858,KOSKENALANTIE 5,60220,SEINÄJOKI,KAUPPA,K-MARKET HUHTATORI,24 H AUKIOLO,,62.777259,22.828716
,,EP,05570,SUUPOHJANTIE 45,60320,SEINÄJOKI,TAVARATALO,K-CITYMARKET SEINÄJOKI,LIIKETILAN AUKIOLO,,62.793870,22.811600
,,P,05768,SUUPOHJANTIE 45,60320,SEINÄJOKI,KAUPPA,K-CITYMARKET SEINÄJOKI,24 H AUKIOLO,,62.793270,22.813150
,,EP,05532,HYLLYKALLIONTIE 2,60510,HYLLYKALLIO,TAVARATALO,PRISMA HYLLYKALLIO,LIIKETILAN AUKIOLO,,62.805780,22.877930
,,P,05682,KAARRETIE 2,60510,HYLLYKALLIO,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,62.806200,22.880150
,,O,04962,VALKIAVUORENTIE 2,60550,NURMO,KIOSKI,R-KIOSKI NURMO,24 H AUKIOLO,,62.827820,22.908730
,,O+,40294,HANSATIE 3,60800,ILMAJOKI,KAUPPA,K-SUPERMARKET ILMAJOKI,LIIKETILAN AUKIOLO,,62.731460,22.597460
,,T,40109,KAUPPATIE 7,60800,ILMAJOKI,PANKIN KONTTORI,OP ILMAJOKI,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 6-23,62.732180,22.580750
,,P,05857,KESKUSTIE 20,61100,PERÄSEINÄJOKI,KAUPPA,K-MARKET VILJAMI,24 H AUKIOLO,,62.559910,23.062750
,,O+,40204,KESKUSPUISTIKKO 3,61300,KURIKKA,PANKIN KONTTORI,NORDEA KURIKKA,24 H AUKIOLO,,62.615236,22.396966
,,O,05290,KESKUSPUISTIKKO 7,61300,KURIKKA,PANKIN KONTTORI,POP KURIKKA,24 H AUKIOLO,,62.616152,22.397693
,,P,05968,HAVUSELANTIE 1,61330,KOSKENKORVA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,62.691140,22.451500
,,P,05917,KAUKOLANRAITTI 2,61400,YLISTARO,KAUPPA,S-MARKET YLISTARO,24 H AUKIOLO,,62.940301,22.515456
,,P,05890,LUKKARINMÄENTIE 2,61500,ISOKYRÖ,PANKIN KONTTORI,POP ISOKYRÖ,24 H AUKIOLO,,63.000658,22.322144
,,O+,40317,KOSKITIE 21,61600,JALASJÄRVI,KAUPPA,K-SUPERMARKET JALASJÄRVI,24 H AUKIOLO,,62.487840,22.751760
,,P,05819,PUISTOTIE 70,61800,KAUHAJOKI,TAVARATALO,K-CITYMARKET KAUHAJOKI,24 H AUKIOLO,,62.432950,22.180080
,,T,40151,TOPEEKA 21,61800,KAUHAJOKI,PANKIN KONTTORI,NORDEA KAUHAJOKI,ITSEPALVELUALUEEN AUKIOLO,klo 5 - 23,62.424290,22.178770
,,O,04650,TOPEEKA 65,61800,KAUHAJOKI,KAUPPA,S-MARKET KAUHAJOKI,24 H AUKIOLO,,62.433572,22.183277
,,EP,05649,TOPEEKA 78,61800,KAUHAJOKI,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,62.434870,22.185500
,,O+,40314,ALANGONTIE 4,62100,LAPUA,TAVARATALO,K-SUPERMARKET LAPUA,24 H AUKIOLO,,62.973220,23.029090
,,T,40161,KAUPPAKATU 2,62100,LAPUA,PANKIN KONTTORI,NORDEA LAPUA,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 6-22,62.969180,23.008450
,,P,06037,KAUPPAKATU 4 C,62100,LAPUA,PANKIN KONTTORI,POP LAPUA,24 H AUKIOLO,,62.969260,23.008910
,,O,04086,PUISTOTIE 2,62100,LAPUA,PANKIN KONTTORI,OP LAPUA,24 H AUKIOLO,,62.970820,23.008660
,,P,05678,KAUPPATIE 65,62200,KAUHAVA,KAUPPA,S-MARKET KAUHAVA,24 H AUKIOLO,,63.098260,23.039590
,,O+,40212,KAUPPATIE 82,62200,KAUHAVA,KAUPPA,K-SUPERMARKET KAUHAVA,24 H AUKIOLO,,63.100060,23.055490
,,P,05859,SAHARAVAINIONTIE 1,62300,HÄRMÄ,KAUPPA,S-MARKET ALAHÄRMÄ,24 H AUKIOLO,,63.238890,22.850280
,,P,05860,VANHA VAASANTIE 1,62375,YLIHÄRMÄ,KAUPPA,S-MARKET YLIHÄRMÄ,24 H AUKIOLO,,63.142785,22.794490
,,O,04063,JÄÄKÄRINTIE 54,62420,KORTESJÄRVI,TAVARATALO,SUOMELAN KAUPPAHUONE,24 H AUKIOLO,,63.300926,23.155863
,,O,05050,KIRKKOTIE 25,62500,EVIJÄRVI,PANKIN KONTTORI,OP EVIJÄRVI,24 H AUKIOLO,,63.367740,23.478380
,,O,05296,MANEESINTIE 4,62600,LAPPAJÄRVI,PANKIN KONTTORI,POP LAPPAJÄRVI,24 H AUKIOLO,,63.217842,23.624607
,,P,05889,PATRUUNANTIE 10 A,62800,VIMPELI,KAUPPA,K-MARKET VETO,24 H AUKIOLO,,63.159636,23.825675
,,O+,40197,KESKUSKATU 9,62900,ALAJÄRVI,PANKIN KONTTORI,OP ALAJÄRVI,24 H AUKIOLO,,63.000826,23.815156
,,O,04145,KESKUSTIE 36,63100,KUORTANE,PANKIN KONTTORI,OP KUORTANE,24 H AUKIOLO,,62.804070,23.508240
,,T,40150,KUULANTIE 2,63300,ALAVUS,PANKIN KONTTORI,OP ALAVUS,ITSEPALVELUALUEEN AUKIOLO,klo 6 - 24,62.586460,23.618280
,,O,04203,VÄHTÄRINTIE 2,63300,ALAVUS,KAUPPA,K-SUPERMARKET ALAVUS,24 H AUKIOLO,,62.586950,23.614490
,,O,04394,KIRKONKYLÄNTIE 3,63500,LEHTIMÄKI,PANKIN KONTTORI,OP LEHTIMÄKI,24 H AUKIOLO,,62.817420,23.942756
,,P,05876,KESKISENTIE 7,63610,TUURI,PANKIN KONTTORI,OP TUURI,24 H AUKIOLO,,62.602510,23.727610
,,EP,05567,ONNENTIE 7,63610,TUURI,TAVARATALO,VELJEKSET KESKINEN,LIIKETILAN AUKIOLO,,62.603090,23.723620
,,O,04346,OSTOLANTIE 15,63700,ÄHTÄRI,PANKIN KONTTORI,OP ÄHTÄRI,24 H AUKIOLO,,62.550367,24.068749
,,O+,40217,OSTOLANTIE 4,63700,ÄHTÄRI,LIIKEKIINTEISTÖ,LIIKETILA,,,62.548390,24.075670
,,O,04892,ALAJÄRVENTIE 2,63800,SOINI,PANKIN KONTTORI,OP SOINI,24 H AUKIOLO,,62.873460,24.204660
,,O,05310,KAUPPATORI 4,64100,KRISTIINANKAUPUNKI,KAUPPA,JOSEFSGÅRDEN,24 H AUKIOLO,,62.274030,21.378740
,,O+,40312,MERIKATU 4,64100,KRISTIINANKAUPUNKI,TAVARATALO,K-SUPERMARKET SELLERI,LIIKETILAN AUKIOLO,,62.275070,21.380900
,,O+,40221,NÄRPESVÄGEN 8,64200,NÄRPIÖ,KAUPPA,K-SUPERMARKET NÄRPIÖ,24 H AUKIOLO,,62.476490,21.338650
,,O,05168,RAATIHUONEENKATU 36,64260,KASKINEN,PANKIN KONTTORI,SP KASKINEN,24 H AUKIOLO,,62.385312,21.223579
,,O,04981,MIKKILÄNTIE 12,64700,TEUVA,KAUPPA,S-MARKET TEUVA,24 H AUKIOLO,,62.487750,21.739290
,,O+,40290,PORVARINTIE 14,64700,TEUVA,KAUPPA,K-MARKET TEUVA,LIIKETILAN AUKIOLO,,62.487100,21.746830
,,O,04247,LUUKKAANTIE 1,64900,ISOJOKI,KAUPPA,S-MARKET ISOJOKI,24 H AUKIOLO,,62.111944,21.960163
,,O,04728,ALATORI,65100,VAASA,PANKIN KONTTORI,OP VAASA,24 H AUKIOLO,,63.095540,21.617170
,,O,04779,ALATORI 3,65100,VAASA,PANKIN KONTTORI,NORDEA VAASA,24 H AUKIOLO,,63.095770,21.617040
,,EP,05575,HOVIOIKEUDENPUISTIKKO 17,65100,VAASA,TAVARATALO,K-CITYMARKET VAASA KESKUSTA,LIIKETILAN AUKIOLO,,63.096780,21.616000
,,T,40039,HOVIOIKEUDENPUISTIKKO 17,65100,VAASA,TAVARATALO,K-CITYMARKET VAASA KESKUSTA,LIIKETILAN AUKIOLO,,63.096700,21.616140
,,T,40162,KIVIHAANTIE 14,65100,VAASA,KAUPPAKESKUS,GW GALLERIA,LIIKETILAN AUKIOLO,,63.111670,21.657930
,,O+,40331,LAIVAKATU 13,65100,VAASA,TAVARATALO,MINIMANI,24 H AUKIOLO,,63.103220,21.624110
,,O,04996,SEPÄNKYLÄNTIE 3,65100,VAASA,KAUPPA,AUTO - BILMAN,24 H AUKIOLO,,63.098665,21.626930
,,P,05805,VAASANPUISTIKKO 16,65100,VAASA,PANKIN KONTTORI,AKTIA TORIKONTTORI,24 H AUKIOLO,,63.094820,21.615500
,,T,40051,YLÄTORI 2,65100,VAASA,KAUPPAKESKUS,REWELL CENTER, 1. KRS / HENNES JA MAURIZ VASTAPÄÄTÄ,LIIKETILAN AUKIOLO,,63.095920,21.614570
,,O,05188,YLÄTORI 4,65100,VAASA,PANKIN KONTTORI,DANSKE VAASA REWELL 2.KRS,24 H AUKIOLO,,63.095570,21.614730
,,O+,40289,KAPTEENINKATU 22,65200,VAASA,KAUPPA,K-MARKET KAPTEENINKATU,LIIKETILAN AUKIOLO,,63.108040,21.593700
,,P,05671,PALOSAARENTIE 26,65200,VAASA,LIIKEKIINTEISTÖ,S-MARKET PALOSAARI,24 H AUKIOLO,,63.109926,21.597571
,,EP,05482,GERBYNTIE 24-28,65230,VAASA,KAUPPA,K-MARKET PITSITEHDAS,LIIKETILAN AUKIOLO,,63.118470,21.617380
,,O,04496,VÄSTERVIKINTIE 2,65280,VAASA,KAUPPA,S-MARKET GERBY,24 H AUKIOLO,,63.134068,21.599462
,,P,05673,JUKOLANTIE 1,65300,VAASA,TAVARATALO,PRISMA VAASA,24 H AUKIOLO,,63.102430,21.647500
,,EP,05556,KOKKOKALLIONTIE 2,65300,VAASA,TAVARATALO,K-CITYMARKET KIVIHAKA,LIIKETILAN AUKIOLO,,63.109630,21.650500
,,O,04497,KUNINKAANTIE 69,65320,VAASA,KAUPPA,K-SUPERMARKET HUUTONIEMI,24 H AUKIOLO,,63.090440,21.683080
,,O,05195,VANHAN VAASAN KATU 19,65370,VAASA,KAUPPA,S-MARKET RISTINUMMI,24 H AUKIOLO,,63.086449,21.726044
,,O,04626,KIITOKAARI 2,65380,VAASA,LIIKENNEPAIKKA,ABC VAASA,LIIKETILAN AUKIOLO,,63.052421,21.720826
,,P,05681,SULVANTIE 213,65450,SULVA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,63.012710,21.649250
,,P,05899,KESKUSTIE 3,65610,MUSTASAARI,PANKIN KONTTORI,OP MUSTASAARI,24 H AUKIOLO,,63.112301,21.677934
,,O,05075,KÖPINGINTIE 10 C,66100,MAALAHTI,PANKIN KONTTORI,OP MALAX,24 H AUKIOLO,,62.944775,21.548481
,,O,04308,STRANDVÄGEN 4323,66200,KORSNÄS,LIIKEKIINTEISTÖ,KORSNÄS KOMMUNGÅRD,24 H AUKIOLO,,62.786950,21.189110
,,P,05866,KAUPPATIE 4,66300,JURVA,KAUPPA,K-MARKET KIMARA,24 H AUKIOLO,,62.686330,21.982790
,,T,40152,KAUPPATIE 1,66400,LAIHIA,PANKIN KONTTORI,NORDEA LAIHIA,ITSEPALVELUALUEEN AUKIOLO,klo 6-23,62.979090,22.009590
